id,audio,answer,at,user
0QrxHEsLX4uxC5tbUay1,3_1.wav,ㅗ,2023-09-27T01:33:44.484Z,uwgxF6VQmggSKpqimilzt8CCpM42
0Qzib5gbOyl2wdyA3wue,7_2.wav,ㅏ,2023-09-30T11:54:23.562Z,QWudxVycl7NxgKUBRMziC4fyIFm1
0R9X2XqLraAncCAZUe5n,7_6.wav,ㅔ,2023-09-27T16:14:44.870Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0RGsOWYDuiLkxCFkrCyI,5_1.wav,ㅗ,2023-09-28T14:21:11.846Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0RcLbuuX4dbKANgvwRLb,7_9.wav,ㅐ,2023-09-30T08:05:45.883Z,uwgxF6VQmggSKpqimilzt8CCpM42
0ShF4a1Gs5NNXiZ4uR9P,5_5.wav,ㅓ,2023-09-18T22:59:05.083Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0SwrOxp1KC1MWEUZ2EID,9_7.wav,ㅏ,2023-09-28T11:38:55.882Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0TDTA2ggz6cqlpWongpE,6_2.wav,ㅗ,2023-09-29T14:39:42.749Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0TGm9tJZuWQy0eBQcVbp,9_8.wav,ㅔ,2023-09-29T14:44:04.413Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0Vs1uaiBkCvM68GrRBWt,4_10.wav,ㅣ,2023-09-30T12:49:25.819Z,LYrFonkX4AVb0UQrELmpCFA72On2
0Vv7b0lbYKIYoE7a2pPY,5_3.wav,ㅗ,2023-09-28T11:21:30.039Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0W8zXGXIUlCOQk6h5KiB,7_8.wav,ㅐ,2023-09-29T14:51:30.444Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0WLNLo37fhZxYmcGZKVU,8_7.wav,ㅔ,2023-09-18T14:03:34.880Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0Wegc3OVwZ16X6Fg8VOy,3_2.wav,ㅗ,2023-09-28T14:39:00.119Z,LYrFonkX4AVb0UQrELmpCFA72On2
